,movie_id,mpaa
306,2795627,"Rated R for disturbing images, some sexual content and brief nudity"
307,2795800,"Rated R for bloody violence, sexual content, language and some teen drug and alcohol use"
308,2796692,"Rated R for language, some sexual material and violence"
309,2798517,"Rated PG-13 for intense sequences of violence and action, thematic elements and brief strong language"
310,2798571,"Rated R for strong brutal and bloody violence, torture, language and some sexuality/nudity"
311,2798608,"Rated R for violence, brief nudity and a sexual reference"
312,2798610,"Rated R for violence, language and brief nudity"
313,2798682,Rated PG-13 for violent disturbing images and brief strong language
314,2799585,"Rated R for language, violence, sexual content and brief nudity"
315,2799665,Rated R for some strong language
316,2799742,"Rated R for sexual content including a strong graphic image, and for language"
317,2799946,Rated R for drug use and brief sexuality
318,2801142,Rated PG-13 for brief language
319,2801143,Rated PG-13 for some sexuality
320,2801144,Rated PG-13 for some violence and a scene of sexuality
321,2801177,Rated R for violence and terror
322,2801463,"Rated PG for action, language and some thematic elements"
323,2801698,"Rated R for sexual content, nudity and language"
324,2801856,"Rated R for creature violence, drug content and pervasive language"
325,2803435,"Rated R for language including sexual references, and for drug material"
326,2804171,Rated PG-13 for some suggestive content and innuendo
327,2804406,"Rated R for language throughout, sexual content, some drug material and violent images"
328,2804413,Rated PG-13 for some suggestive material
329,2804839,"Rated R for strong violence, language and brief sexual images"
330,2804961,"Rated R for violence including rape, and nudity"
331,2805066,"Rated R for violence, language and some sexual content"
332,2805157,Rated PG for rude humor and some action.
333,2805177,"Rated R for language, some sexual content and bloody images"
334,2805406,"Rated R for some violence, brief sexuality and language"
335,2805650,"Rated PG-13 for intense sequences of sci-fi action, violence and destruction, and for some suggestive comments."
336,2805869,Rated R for war violence.
337,2806072,"Rated PG for action/peril including gunplay, some thematic elements and rude humor"
338,2806310,"Rated PG for thematic elements, some violent images and brief smoking"
339,2806674,Rated R for pervasive language and some sexual content
340,2806788,"Rated R for violence, language throughout and brief sexuality"
341,2806835,"Rated R for bloody violence, language and some sexuality/nudity"
342,2806851,"Rated R for bloody violence, language and some sexual content"
343,2807817,"Rated PG-13 for sexual content, crude humor, violence, language and brief drug use."
344,2809757,Rated R for sexual content and language
345,2809793,Rated R for some violence
346,2810160,"Rated R for sexual content, pervasive language, and drug use"
347,2810407,"Rated R for language throughout, sexual content and some graphic nudity"
